,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
98,99,Erode (West),Kongu,GEN,DMK,49.01,10.74,TVK,43.74,10.05,221400,14,True,-5.27,-0.69
99,100,Modakurichi,Kongu,GEN,BJP,42.96,0.15,TVK,31.83,1.27,190759,15,True,-11.13,1.12
100,101,Dharapuram,Kongu,SC,DMK,46.39,0.72,AIADMK,40.56,8.37,199944,10,True,-5.83,7.65
101,102,Kangayam,Kongu,GEN,DMK,47.14,3.67,AIADMK,34.94,4.0,203534,16,True,-12.2,0.33
102,103,Perundurai,Kongu,GEN,AIADMK,44.84,7.64,AIADMK,35.03,4.83,200686,14,False,-9.81,-2.81
103,104,Bhavani,Kongu,GEN,AIADMK,50.11,11.18,AIADMK,36.28,3.55,208323,15,False,-13.83,-7.63
104,105,Anthiyur,Kongu,GEN,DMK,44.84,0.72,AIADMK,32.32,0.68,185775,15,True,-12.52,-0.04
105,106,Gobichettipalayam,Kongu,GEN,AIADMK,50.68,13.33,TVK,37.6,7.56,219727,19,True,-13.08,-5.77
106,107,Bhavanisagar,Kongu,SC,AIADMK,49.45,7.98,TVK,33.73,2.13,214595,13,True,-15.72,-5.85
107,108,Udhagamandalam,Kongu,GEN,INC,46.44,3.79,BJP,32.61,0.66,148704,7,True,-13.83,-3.13
108,109,Gudalur,Kongu,SC,AIADMK,46.65,1.41,DMK,43.37,15.1,151241,7,True,-3.28,13.69
109,110,Coonoor,Kongu,GEN,DMK,45.49,3.02,DMK,35.69,5.73,141394,7,False,-9.8,2.71
110,111,Mettupalayam,Kongu,GEN,AIADMK,46.75,1.09,TVK,30.97,3.18,244319,23,True,-15.78,2.09
111,112,Avanashi,Kongu,SC,AIADMK,55.16,23.94,TVK,36.36,6.64,231600,15,True,-18.8,-17.3
112,113,Tiruppur (North),Kongu,GEN,AIADMK,47.62,16.84,TVK,49.88,26.57,263457,16,True,2.26,9.73
113,114,Tiruppur (South),Kongu,GEN,DMK,43.31,2.7,TVK,41.04,7.17,179814,25,True,-2.27,4.47
114,115,Palladam,Kongu,GEN,AIADMK,48.53,12.5,TVK,40.3,12.59,301014,16,True,-8.23,0.09
115,116,Sulur,Kongu,GEN,AIADMK,49.23,13.21,TVK,33.1,1.75,273544,16,True,-16.13,-11.46
116,117,Kavundampalayam,Kongu,GEN,AIADMK,43.78,3.15,TVK,40.24,11.58,363991,15,True,-3.54,8.43
